num_threads,processing_avg_s,accumulate_avg_s,compute_avg_s,total_avg_s,processing_speed_up,compute_speed_up,total_speed_up
1,35.27,0.00,14.23,49.50,1.00,1.00,1.00
2,26.03,0.38,13.97,40.38,1.36,1.02,1.23
3,27.26,0.28,14.17,41.71,1.29,1.00,1.19
4,23.22,0.31,13.64,37.17,1.52,1.04,1.33
5,25.84,0.25,13.78,39.87,1.37,1.03,1.24
6,22.59,0.25,13.55,36.39,1.56,1.05,1.36
7,24.87,0.38,13.36,38.61,1.42,1.07,1.28
8,24.03,0.46,14.11,38.59,1.47,1.01,1.28
9,26.73,0.44,13.68,40.85,1.32,1.04,1.21
10,24.01,0.53,13.60,38.14,1.47,1.05,1.30
11,26.56,0.34,13.54,40.44,1.33,1.05,1.22
12,26.94,0.54,13.21,40.68,1.31,1.08,1.22
13,20.83,0.54,12.82,34.19,1.69,1.11,1.45
14,18.99,3.58,13.24,35.81,1.86,1.07,1.38
15,18.75,5.02,12.82,36.59,1.88,1.11,1.35
16,20.09,2.66,13.54,36.30,1.76,1.05,1.36
